['Data', 'Carro', 'Transporte', 'Nota', 'Chave']
['15/02/2022 04:00', 'VUC', '0000144303', '001677052', '35220261472205000407550010016770521892666455']
['15/02/2022 04:00', 'VUC', '0000144303', '001677046', '35220261472205000407550010016770461962252851']
['Data', 'Carro', 'Transporte', 'Nota', 'Chave']
['16/02/2022 04:00', 'VUC', '0000144417', '001678468', '35220261472205000407550010016784681922077122']
['16/02/2022 04:00', 'VUC', '0000144417', '001678472', '35220261472205000407550010016784721333902768']
['16/02/2022 04:00', 'VUC', '0000144417', '001678475', '35220261472205000407550010016784751998153037']
['16/02/2022 04:00', 'VUC', '0000144417', '001678469', '35220261472205000407550010016784691712225076']
['16/02/2022 04:00', 'VUC', '0000144417', '001678473', '35220261472205000407550010016784731989944669']
['16/02/2022 04:00', 'VUC', '0000144417', '001678476', '35220261472205000407550010016784761697005389']
['16/02/2022 04:00', 'VUC', '0000144417', '001678470', '35220261472205000407550010016784701459670470']
['16/02/2022 04:00', 'VUC', '0000144417', '001678477', '35220261472205000407550010016784771159216716']
['16/02/2022 04:00', 'VUC', '0000144417', '001678471', '35220261472205000407550010016784711282229592']
['16/02/2022 04:00', 'VUC', '0000144417', '001678474', '35220261472205000407550010016784741265538371']
['16/02/2022 04:00', 'VUC', '0000144417', '001678478', '35220261472205000407550010016784781443730345']
['16/02/2022 04:00', 'VUC', '0000144417', '001678467', '35220261472205000407550010016784671771443551']
['16/02/2022 04:00', 'VUC', '0000144417', '001678465', '35220261472205000407550010016784651257801817']
['16/02/2022 04:00', 'VUC', '0000144417', '001678464', '35220261472205000407550010016784641166048914']
['16/02/2022 04:00', 'VUC', '0000144417', '001678466', '35220261472205000407550010016784661319664963']
['16/02/2022 04:30', 'VUC', '0000144418', '001678482', '35220261472205000407550010016784821657713894']
['16/02/2022 04:30', 'VUC', '0000144418', '001678486', '35220261472205000407550010016784861057397885']
['16/02/2022 04:30', 'VUC', '0000144418', '001678490', '35220261472205000407550010016784901883058992']
['16/02/2022 04:30', 'VUC', '0000144418', '001678483', '35220261472205000407550010016784831802327950']
['16/02/2022 04:30', 'VUC', '0000144418', '001678487', '35220261472205000407550010016784871934448290']
['16/02/2022 04:30', 'VUC', '0000144418', '001678491', '35220261472205000407550010016784911753109675']
['16/02/2022 04:30', 'VUC', '0000144418', '001678484', '35220261472205000407550010016784841473160552']
['16/02/2022 04:30', 'VUC', '0000144418', '001678488', '35220261472205000407550010016784881304422443']
['16/02/2022 04:30', 'VUC', '0000144418', '001678492', '35220261472205000407550010016784921033932770']
['16/02/2022 04:30', 'VUC', '0000144418', '001678485', '35220261472205000407550010016784851178081423']
['16/02/2022 04:30', 'VUC', '0000144418', '001678489', '35220261472205000407550010016784891934352883']
['16/02/2022 04:30', 'VUC', '0000144418', '001678493', '35220261472205000407550010016784931709488334']
['16/02/2022 04:30', 'VUC', '0000144418', '001678480', '35220261472205000407550010016784801096421763']
